Time,Tissue Displacement,Pressure,Temperature,Piston Displacement,Opening Diameter,Battery Voltage,Charging,deformation,pressureApplied,IAP,stress,force,strain,elasticity
1303118,38,100.34,24.47,0,60,0.06,Unplugged,0,-0.06,0.06,0.42,148.22,0,inf|
1303368,34,100.34,24.47,0,60,0.06,Unplugged,-3,-0.06,0.05,0.34,119.9,-50,-0.01|
1303618,38,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.04,0.31,108.03,-33.33,-0.01|
1303868,37,100.34,24.47,0,60,0.05,Unplugged,-1,-0.06,0.04,0.24,86.16,-16.67,-0.01|
1304118,36,100.34,24.47,0,60,0.06,Unplugged,-3,-0.06,0.05,0.34,119.73,-50,-0.01|
1304368,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.06,0.04,0.24,86.02,-16.67,-0.01|
1304618,38,100.34,24.47,0,60,0.06,Unplugged,-1,-0.06,0.04,0.24,85.65,-16.67,-0.01|
1304868,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.05,0.31,110.82,-33.33,-0.01|
1305118,37,100.34,24.47,0,60,0.06,Unplugged,0,-0.06,0.06,0.44,154.3,0,inf|
1305368,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.04,0.31,109.02,-33.33,-0.01|
1305618,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.06,0.04,0.24,85.39,-16.67,-0.01|
1305868,38,100.34,24.47,0,60,0.05,Unplugged,-2,-0.05,0.04,0.29,103.02,-33.33,-0.01|
1306118,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.06,0.04,0.23,82.3,-16.67,-0.01|
1306368,35,100.34,24.47,0,60,0.06,Unplugged,0,-0.06,0.06,0.44,154.03,0,inf|
1306618,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.07,0.05,0.36,128.23,-33.33,-0.01|
1306868,36,100.34,24.47,0,60,0.06,Unplugged,2,-0.06,0.09,0.68,240.43,33.33,0.02|
1307118,36,100.34,24.47,0,60,0.06,Unplugged,0,-0.07,0.07,0.47,165.98,0,inf|
1307368,38,100.33,24.47,0,60,0.05,Unplugged,-1,-0.06,0.04,0.27,95.46,-16.67,-0.02|
1307618,36,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.05,0.31,111.17,-33.33,-0.01|
1307868,38,100.34,24.47,0,60,0.05,Unplugged,0,-0.06,0.06,0.44,157.07,0,inf|
1308118,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.07,0.05,0.31,109.19,-16.67,-0.02|
1308368,38,100.34,24.47,0,60,0.06,Unplugged,0,-0.09,0.09,0.65,230.72,0,inf|
1308618,34,100.34,24.47,0,60,0.05,Unplugged,9,0.15,-0.16,-1.17,-413.26,150,-0.01|
1308868,38,100.34,24.47,0,60,0.06,Unplugged,10,1.64,-1.74,-12.59,-4452.59,166.67,-0.08|
1309118,36,100.34,24.46,0,60,0.05,Unplugged,9,3.52,-3.76,-27.24,-9634.05,150,-0.18|
1309368,37,100.34,24.46,0,60,0.06,Unplugged,9,4.42,-4.73,-34.25,-12115.01,150,-0.23|
1309618,38,100.34,24.46,0,60,0.05,Unplugged,9,4.78,-5.11,-37.02,-13092.39,150,-0.25|
1309868,37,100.34,24.46,0,60,0.06,Unplugged,10,4.8,-5.1,-36.9,-13050.48,166.67,-0.22|
1310118,39,100.34,24.46,0,60,0.06,Unplugged,8,4.62,-4.99,-36.17,-12793.43,133.33,-0.27|
1310368,38,100.34,24.46,0,60,0.06,Unplugged,8,4.33,-4.67,-33.87,-11979.9,133.33,-0.25|
1310618,38,100.34,24.46,0,60,0.06,Unplugged,9,3.97,-4.25,-30.76,-10880.13,150,-0.21|
1310868,37,100.34,24.46,0,60,0.05,Unplugged,8,3.59,-3.87,-28.05,-9920.39,133.33,-0.21|
1311118,36,100.34,24.46,0,60,0.06,Unplugged,8,3.2,-3.45,-25,-8841.74,133.33,-0.19|
1311368,36,100.34,24.46,0,60,0.06,Unplugged,6,2.82,-3.12,-22.74,-8041.3,100,-0.23|
1311618,36,100.34,24.46,0,60,0.06,Unplugged,6,2.47,-2.74,-19.92,-7045.7,100,-0.20|
1311868,38,100.34,24.47,0,60,0.06,Unplugged,6,2.16,-2.39,-17.37,-6142.38,100,-0.17|
1312118,38,100.34,24.47,0,60,0.05,Unplugged,6,1.89,-2.09,-15.2,-5377.04,100,-0.15|
1312368,36,100.34,24.47,0,60,0.05,Unplugged,4,1.66,-1.94,-14.22,-5027.62,66.67,-0.21|
1312618,35,100.34,24.47,0,60,0.06,Unplugged,5,1.47,-1.66,-12.14,-4293.93,83.33,-0.15|
1312868,37,100.33,24.47,0,60,0.05,Unplugged,5,1.31,-1.48,-10.8,-3818.95,83.33,-0.13|
1313118,37,100.34,24.46,0,60,0.05,Unplugged,5,1.17,-1.32,-9.63,-3405.55,83.33,-0.12|
1313368,39,100.33,24.46,0,60,0.05,Unplugged,5,1.04,-1.18,-8.6,-3040.08,83.33,-0.10|
1313618,37,100.33,24.46,0,60,0.06,Unplugged,4,0.93,-1.09,-7.98,-2822.81,66.67,-0.12|
1313868,37,100.34,24.46,0,60,0.05,Unplugged,5,0.84,-0.95,-6.91,-2442.73,83.33,-0.08|
1314118,37,100.34,24.47,0,60,0.06,Unplugged,4,0.75,-0.88,-6.41,-2268.27,66.67,-0.10|
1314368,36,100.34,24.47,0,60,0.05,Unplugged,4,0.67,-0.78,-5.74,-2031.06,66.67,-0.09|
1314618,37,100.34,24.47,0,60,0.05,Unplugged,2,0.6,-0.85,-6.35,-2244.75,33.33,-0.19|
1314868,37,100.34,24.47,0,60,0.06,Unplugged,3,0.55,-0.68,-4.99,-1764.48,50,-0.10|
1315118,37,100.34,24.47,0,60,0.05,Unplugged,3,0.5,-0.61,-4.53,-1601.9,50,-0.09|
1315368,39,100.34,24.47,0,60,0.05,Unplugged,1,0.45,-1.08,-8.35,-2951.98,16.67,-0.50|
1315618,35,100.34,24.47,0,60,0.05,Unplugged,3,0.41,-0.51,-3.73,-1318.61,50,-0.07|
1315868,35,100.34,24.47,0,60,0.05,Unplugged,2,0.37,-0.52,-3.88,-1370.53,33.33,-0.12|
1316118,38,100.34,24.47,0,60,0.06,Unplugged,0,0.33,-0.33,-2.38,-840.11,0,inf|
1316368,36,100.34,24.47,0,60,0.06,Unplugged,-1,0.3,-0.19,-1.23,-436.37,-16.67,0.07|
1316618,36,100.34,24.47,0,60,0.05,Unplugged,0,0.26,-0.26,-1.87,-661.99,0,inf|
1316868,36,100.34,24.47,0,60,0.05,Unplugged,0,0.23,-0.23,-1.65,-582.09,0,inf|
1317118,37,100.34,24.47,0,60,0.05,Unplugged,1,0.2,-0.48,-3.71,-1313.02,16.67,-0.22|
1317368,36,100.34,24.47,0,60,0.05,Unplugged,2,0.17,-0.24,-1.8,-637.69,33.33,-0.05|
1317618,35,100.34,24.47,0,60,0.05,Unplugged,-1,0.15,-0.09,-0.62,-218.13,-16.67,0.04|
1317868,37,100.34,24.47,0,60,0.05,Unplugged,0,0.13,-0.13,-0.93,-328.32,0,inf|
1318118,37,100.34,24.47,0,60,0.05,Unplugged,-3,0.11,-0.09,-0.65,-231.52,-50,0.01|
1318368,37,100.34,24.47,0,60,0.05,Unplugged,2,0.09,-0.13,-0.98,-346.32,33.33,-0.03|
1318618,35,100.34,24.47,0,60,0.05,Unplugged,1,0.08,-0.18,-1.39,-493.1,16.67,-0.08|
1318868,31,100.33,24.47,0,60,0.05,Unplugged,-1,0.06,-0.04,-0.25,-89.32,-16.67,0.02|
1319118,32,100.32,24.47,0,60,0.05,Unplugged,-1,0.05,-0.03,-0.2,-69.84,-16.67,0.01|
1319368,32,100.31,24.47,0,60,0.05,Unplugged,-1,0.04,-0.02,-0.15,-52.92,-16.67,0.01|
1319618,33,100.3,24.47,0,60,0.05,Unplugged,0,0.03,-0.03,-0.19,-66.77,0,inf|
1319868,33,100.3,24.47,0,60,0.06,Unplugged,-2,0.02,-0.01,-0.09,-31.89,-33.33,0.00|
1320118,33,100.3,24.47,0,60,0.05,Unplugged,2,0.01,-0.01,-0.07,-23.73,33.33,-0.00|
1320368,32,100.3,24.47,0,60,0.05,Unplugged,-5,0,0,0.02,6.49,-83.33,-0.00|
1320618,33,100.29,24.47,0,60,0.05,Unplugged,-2,-0.01,0.01,0.05,18.94,-33.33,-0.00|
1320868,31,100.29,24.47,0,60,0.05,Unplugged,-2,-0.01,0.01,0.07,24.75,-33.33,-0.00|
1321118,31,100.29,24.47,0,60,0.05,Unplugged,-2,-0.02,0.01,0.08,28.87,-33.33,-0.00|
1321368,33,100.28,24.47,0,60,0.05,Unplugged,1,-0.02,0.04,0.34,118.55,16.67,0.02|
1321618,32,100.28,24.47,0,60,0.05,Unplugged,0,-0.02,0.02,0.15,53.96,0,inf|
1321868,32,100.28,24.47,0,60,0.05,Unplugged,0,-0.02,0.02,0.17,60.49,0,inf|
1322118,32,100.28,24.47,0,60,0.05,Unplugged,-1,-0.03,0.02,0.11,37.55,-16.67,-0.01|
1322368,33,100.27,24.47,0,60,0.05,Unplugged,0,-0.03,0.03,0.2,69.38,0,inf|
1322618,32,100.27,24.47,0,60,0.05,Unplugged,-1,-0.03,0.02,0.12,42.09,-16.67,-0.01|
1322868,32,100.28,24.47,0,60,0.05,Unplugged,-1,-0.03,0.02,0.13,46,-16.67,-0.01|
1323118,33,100.28,24.47,0,60,0.05,Unplugged,-2,-0.04,0.03,0.19,66.89,-33.33,-0.01|
1323368,33,100.28,24.47,0,60,0.06,Unplugged,-1,-0.04,0.02,0.15,54.3,-16.67,-0.01|
1323618,33,100.28,24.47,0,60,0.05,Unplugged,-1,-0.04,0.03,0.17,60.02,-16.67,-0.01|
1323868,32,100.28,24.47,0,60,0.05,Unplugged,-1,-0.04,0.03,0.17,61.16,-16.67,-0.01|
1324118,34,100.29,24.47,0,60,0.05,Unplugged,-2,-0.04,0.03,0.23,80.53,-33.33,-0.01|
1324368,32,100.29,24.47,0,60,0.05,Unplugged,-3,-0.04,0.04,0.26,91.55,-50,-0.01|
1324618,32,100.29,24.47,0,60,0.05,Unplugged,0,-0.04,0.04,0.32,113.23,0,inf|
1324868,34,100.29,24.47,0,60,0.06,Unplugged,-3,-0.05,0.04,0.27,96.26,-50,-0.01|
1325118,34,100.29,24.47,0,60,0.05,Unplugged,-2,-0.05,0.04,0.26,90.25,-33.33,-0.01|
1325368,34,100.3,24.47,0,60,0.05,Unplugged,-1,-0.05,0.03,0.2,71.61,-16.67,-0.01|
1325618,33,100.3,24.47,0,60,0.05,Unplugged,-2,-0.05,0.04,0.27,95.98,-33.33,-0.01|
1325868,35,100.3,24.47,0,60,0.05,Unplugged,-1,-0.05,0.03,0.22,77.04,-16.67,-0.01|
1326118,33,100.3,24.47,0,60,0.05,Unplugged,-3,-0.05,0.04,0.3,106.83,-50,-0.01|
1326368,34,100.31,24.47,0,60,0.05,Unplugged,-1,-0.05,0.03,0.22,77.76,-16.67,-0.01|
1326618,31,100.31,24.47,0,60,0.05,Unplugged,-2,-0.06,0.04,0.29,104.26,-33.33,-0.01|
1326868,31,100.31,24.47,0,60,0.05,Unplugged,-2,-0.06,0.04,0.3,107.52,-33.33,-0.01|
1327118,31,100.31,24.47,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,112.25,-33.33,-0.01|
1327368,33,100.31,24.47,0,60,0.05,Unplugged,0,-0.06,0.06,0.46,162.4,0,inf|
1327618,32,100.31,24.47,0,60,0.05,Unplugged,-1,-0.07,0.04,0.27,95.9,-16.67,-0.02|
1327868,33,100.31,24.48,0,60,0.05,Unplugged,-3,-0.06,0.05,0.36,126.59,-50,-0.01|
1328118,33,100.31,24.48,0,60,0.05,Unplugged,-1,-0.06,0.04,0.26,90.41,-16.67,-0.02|
1328368,33,100.31,24.48,0,60,0.04,Unplugged,-3,-0.06,0.05,0.37,131.91,-50,-0.01|
1328618,33,100.31,24.48,0,60,0.05,Unplugged,-2,-0.06,0.05,0.33,115,-33.33,-0.01|
1328868,33,100.31,24.48,0,60,0.05,Unplugged,3,-0.07,0.09,0.66,232.98,50,0.01|
1329118,33,100.3,24.47,0,60,0.05,Unplugged,8,0.31,-0.33,-2.43,-858.66,133.33,-0.02|
1329368,33,100.3,24.47,0,60,0.05,Unplugged,11,1.81,-1.91,-13.79,-4876.93,183.33,-0.08|
1329618,31,100.3,24.47,0,60,0.05,Unplugged,11,3.43,-3.62,-26.2,-9265.59,183.33,-0.14|
1329868,31,100.31,24.46,0,60,0.05,Unplugged,10,4.21,-4.47,-32.33,-11433.47,166.67,-0.19|
1330118,32,100.31,24.46,0,60,0.05,Unplugged,10,4.5,-4.77,-34.55,-12220.72,166.67,-0.21|
1330368,30,100.31,24.46,0,60,0.05,Unplugged,10,4.49,-4.77,-34.52,-12210.17,166.67,-0.21|
1330618,33,100.31,24.47,0,60,0.05,Unplugged,10,4.31,-4.58,-33.12,-11714.41,166.67,-0.20|
1330868,32,100.31,24.47,0,60,0.05,Unplugged,8,4.03,-4.34,-31.48,-11134.22,133.33,-0.24|
1331118,32,100.31,24.47,0,60,0.05,Unplugged,7,3.68,-4.02,-29.18,-10321.01,116.67,-0.25|
1331368,33,100.31,24.47,0,60,0.05,Unplugged,8,3.32,-3.58,-25.97,-9185.4,133.33,-0.19|
1331618,33,100.31,24.47,0,60,0.05,Unplugged,8,2.96,-3.19,-23.15,-8186.33,133.33,-0.17|
1331868,35,100.31,24.47,0,60,0.04,Unplugged,7,2.61,-2.85,-20.69,-7317.61,116.67,-0.18|
1332118,34,100.31,24.47,0,60,0.05,Unplugged,6,2.29,-2.54,-18.49,-6540.59,100,-0.18|
1332368,32,100.31,24.47,0,60,0.04,Unplugged,6,2.02,-2.24,-16.29,-5760.71,100,-0.16|
1332618,32,100.31,24.47,0,60,0.05,Unplugged,4,1.79,-2.09,-15.3,-5412.42,66.67,-0.23|
1332868,34,100.31,24.47,0,60,0.05,Unplugged,5,1.58,-1.79,-13.06,-4618.35,83.33,-0.16|
1333118,33,100.31,24.47,0,60,0.04,Unplugged,3,1.41,-1.75,-12.89,-4557.16,50,-0.26|
1333368,33,100.31,24.47,0,60,0.05,Unplugged,5,1.26,-1.42,-10.39,-3674.14,83.33,-0.12|
1333618,33,100.3,24.48,0,60,0.05,Unplugged,4,1.12,-1.32,-9.64,-3409.3,66.67,-0.14|
1333868,31,100.3,24.47,0,60,0.04,Unplugged,5,1.01,-1.14,-8.33,-2944.78,83.33,-0.10|
1334118,31,100.3,24.48,0,60,0.04,Unplugged,4,0.9,-1.06,-7.76,-2742.98,66.67,-0.12|
1334368,35,100.29,24.48,0,60,0.05,Unplugged,2,0.81,-1.14,-8.55,-3024.57,33.33,-0.26|
1334618,33,100.29,24.48,0,60,0.05,Unplugged,1,0.73,-1.76,-13.63,-4821.69,16.67,-0.82|
1334868,31,100.29,24.47,0,60,0.05,Unplugged,2,0.66,-0.94,-6.98,-2470.44,33.33,-0.21|
1335118,33,100.29,24.48,0,60,0.05,Unplugged,3,0.6,-0.75,-5.5,-1945.54,50,-0.11|
1335368,32,100.29,24.48,0,60,0.05,Unplugged,1,0.55,-1.31,-10.14,-3585.26,16.67,-0.61|
1335618,32,100.29,24.48,0,60,0.05,Unplugged,1,0.5,-1.18,-9.19,-3249.84,16.67,-0.55|
1335868,33,100.29,24.48,0,60,0.05,Unplugged,1,0.45,-1.07,-8.32,-2943.56,16.67,-0.50|
1336118,34,100.29,24.48,0,60,0.05,Unplugged,2,0.41,-0.57,-4.29,-1517.14,33.33,-0.13|
1336368,32,100.29,24.48,0,60,0.05,Unplugged,1,0.37,-0.88,-6.8,-2405.03,16.67,-0.41|
1336618,32,100.29,24.48,0,60,0.05,Unplugged,-1,0.33,-0.21,-1.38,-489.32,-16.67,0.08|
1336868,32,100.29,24.48,0,60,0.05,Unplugged,0,0.3,-0.3,-2.14,-755.98,0,inf|
1337118,33,100.29,24.48,0,60,0.05,Unplugged,1,0.26,-0.63,-4.87,-1723.06,16.67,-0.29|
1337368,33,100.29,24.48,0,60,0.05,Unplugged,-2,0.23,-0.18,-1.24,-438.61,-33.33,0.04|
1337618,32,100.29,24.48,0,60,0.05,Unplugged,1,0.2,-0.48,-3.72,-1317.28,16.67,-0.22|
1337868,32,100.3,24.48,0,60,0.05,Unplugged,-1,0.17,-0.11,-0.72,-254.55,-16.67,0.04|
1338118,34,100.3,24.48,0,60,0.05,Unplugged,-1,0.15,-0.09,-0.61,-214.46,-16.67,0.04|
1338368,34,100.3,24.48,0,60,0.05,Unplugged,-1,0.12,-0.08,-0.51,-179.26,-16.67,0.03|
1338618,34,100.3,24.48,0,60,0.05,Unplugged,1,0.1,-0.24,-1.89,-667.32,16.67,-0.11|
1338868,32,100.31,24.48,0,60,0.05,Unplugged,-3,0.09,-0.07,-0.5,-177.61,-50,0.01|
1339118,32,100.31,24.48,0,60,0.05,Unplugged,-1,0.07,-0.04,-0.28,-100.58,-16.67,0.02|
1339368,32,100.31,24.48,0,60,0.05,Unplugged,-1,0.05,-0.03,-0.22,-78.45,-16.67,0.01|
1339618,34,100.31,24.48,0,60,0.05,Unplugged,-1,0.04,-0.02,-0.15,-54.27,-16.67,0.01|
1339868,33,100.31,24.48,0,60,0.05,Unplugged,-2,0.02,-0.02,-0.12,-43.89,-33.33,0.00|
1340118,32,100.31,24.48,0,60,0.05,Unplugged,-2,0.01,-0.01,-0.08,-27.37,-33.33,0.00|
1340368,33,100.31,24.48,0,60,0.05,Unplugged,0,0.01,-0.01,-0.04,-13.16,0,inf|
1340618,31,100.32,24.48,0,60,0.05,Unplugged,-2,0,0,0.02,5.86,-33.33,-0.00|
1340868,33,100.28,24.48,0,60,0.05,Unplugged,-2,-0.01,0.01,0.04,15.75,-33.33,-0.00|
1341118,30,100.29,24.48,0,60,0.05,Unplugged,-1,-0.01,0.01,0.06,21.32,-16.67,-0.00|
1341368,33,100.3,24.48,0,60,0.05,Unplugged,0,-0.02,0.02,0.12,43.09,0,inf|
1341618,32,100.32,24.48,0,60,0.05,Unplugged,0,-0.02,0.02,0.15,54.46,0,inf|
1341868,33,100.34,24.48,0,60,0.05,Unplugged,-1,-0.03,0.02,0.12,41.9,-16.67,-0.01|
1342118,34,100.35,24.48,0,60,0.05,Unplugged,-2,-0.03,0.03,0.18,65.33,-33.33,-0.01|
1342368,31,100.36,24.48,0,60,0.05,Unplugged,0,-0.04,0.04,0.29,100.95,0,inf|
1342618,31,100.36,24.48,0,60,0.05,Unplugged,-1,-0.04,0.03,0.17,60.1,-16.67,-0.01|
1342868,34,100.37,24.48,0,60,0.05,Unplugged,-2,-0.04,0.03,0.23,82.66,-33.33,-0.01|
1343118,33,100.37,24.48,0,60,0.05,Unplugged,-3,-0.05,0.04,0.28,97.52,-50,-0.01|
1343368,30,100.2,24.48,0,60,0.05,Unplugged,-2,-0.05,0.04,0.27,95.4,-33.33,-0.01|
1343618,30,99.7,24.48,0,60,0.05,Unplugged,-1,-0.05,0.03,0.22,76.41,-16.67,-0.01|
1343868,29,98.91,24.48,0,60,0.05,Unplugged,-1,-0.05,0.03,0.22,78.74,-16.67,-0.01|
1344118,28,97.99,24.48,0,60,0.05,Unplugged,-1,-0.05,0.03,0.23,80.75,-16.67,-0.01|
1344368,28,97.09,24.48,0,60,0.05,Unplugged,0,-0.06,0.06,0.41,143.43,0,inf|
1344618,29,96.3,24.48,0,60,0.05,Unplugged,-4,-0.06,0.05,0.36,128.81,-66.67,-0.01|
1344868,29,95.63,24.48,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,113.12,-33.33,-0.01|
1345118,27,95.07,24.48,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,87.54,-16.67,-0.01|
1345368,27,94.61,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,88.8,-16.67,-0.02|
1345618,28,94.23,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.36,125.58,-50,-0.01|
1345868,28,93.9,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,125.28,-50,-0.01|
1346118,26,93.63,24.49,0,60,0.05,Unplugged,-4,-0.06,0.05,0.37,130.14,-66.67,-0.01|
1346368,27,93.39,24.49,0,60,0.05,Unplugged,0,-0.06,0.06,0.44,154.19,0,inf|
1346618,26,93.18,24.49,0,60,0.04,Unplugged,-2,-0.06,0.05,0.32,113.41,-33.33,-0.01|
1346868,26,93,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,88.9,-16.67,-0.02|
1347118,26,92.83,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,123.41,-50,-0.01|
1347368,24,92.67,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,113.08,-33.33,-0.01|
1347618,27,92.53,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.33,115.89,-33.33,-0.01|
1347868,27,92.4,24.49,0,60,0.04,Unplugged,-2,-0.06,0.05,0.32,114.56,-33.33,-0.01|
1348118,26,92.27,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,113.76,-33.33,-0.01|
1348368,24,92.14,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,113.11,-33.33,-0.01|
1348618,25,92.01,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,114.26,-33.33,-0.01|
1348868,25,91.86,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,88.61,-16.67,-0.02|
1349118,25,91.68,24.49,0,60,0.05,Unplugged,-4,-0.06,0.05,0.36,129,-66.67,-0.01|
1349368,24,91.4,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.24,86.21,-16.67,-0.01|
1349618,24,91.12,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.31,111.17,-33.33,-0.01|
1349868,25,91.02,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,122.73,-50,-0.01|
1350118,24,91.04,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,122.44,-50,-0.01|
1350368,25,91.14,24.49,0,60,0.04,Unplugged,-2,-0.06,0.05,0.32,111.53,-33.33,-0.01|
1350618,24,91.3,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,122.36,-50,-0.01|
1350868,25,91.49,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,112.36,-33.33,-0.01|
1351118,26,91.7,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,88.16,-16.67,-0.01|
1351368,26,91.93,24.49,0,60,0.05,Unplugged,-3,-0.06,0.05,0.35,124.53,-50,-0.01|
1351618,26,92.17,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,111.76,-33.33,-0.01|
1351868,25,92.4,24.49,0,60,0.05,Unplugged,-1,-0.06,0.04,0.25,87.21,-16.67,-0.01|
1352118,24,92.63,24.49,0,60,0.05,Unplugged,-2,-0.06,0.05,0.32,113.23,-33.33,-0.01|
